-87,-88,-73
-85,-89,-71
-86,-86,-71
-85,-87,-72
-86,-89,-70
-86,-88,-70
-84,-87,-73
-82,-89,-75
-85,-89,-73
-86,-89,-70
-87,-87,-71
-88,-88,-73
-87,-86,-69
-87,-87,-73
-86,-87,-74
-86,-89,-70
-87,-87,-69
-89,-90,-72
-85,-89,-70
-85,-88,-69
-85,-88,-69
-82,-86,-69
-85,-89,-68
-85,-91,-70
-86,-90,-73
-90,-89,-71
-88,-87,-73
-84,-90,-70
-89,-86,-72
-85,-87,-70
-88,-90,-67
-89,-88,-75
-84,-88,-70
-89,-89,-73
-91,-89,-73
-90,-89,-71
-88,-90,-74
-88,-83,-71
-89,-88,-71
-85,-86,-72
-87,-86,-70
-87,-87,-70
-85,-87,-72
-86,-91,-70
-84,-90,-73
-83,-86,-74
-83,-86,-72
-87,-89,-70
-86,-91,-69
-86,-88,-72
-84,-86,-70
-85,-89,-71
-82,-85,-72
-87,-87,-70
-83,-89,-73
-87,-89,-72
-85,-87,-70
-87,-89,-71
-84,-89,-69
-83,-89,-73
-84,-87,-67
-85,-89,-70
-83,-89,-69
-87,-88,-70
-83,-86,-72
-86,-85,-69
-84,-86,-76
-84,-88,-70
-84,-87,-70
-83,-88,-71
-84,-86,-73
-85,-90,-71
-89,-86,-73
-85,-86,-71
-83,-89,-70
-84,-87,-74
-84,-84,-74
-85,-89,-71
-85,-86,-73
-86,-88,-69
